country_code,year,gdp
VUT,2007,2791.7418410919
VUT,2008,2875.08524058992
VUT,2009,2888.13715784739
VUT,2010,2856.77377649901
VUT,2011,2883.22689591881
VUT,2012,2849.05448321427
VUT,2013,2799.28262661802
VUT,2014,2807.83422956759
VUT,2015,2854.89412272653
VUT,2016,2889.01404801498
VUT,2017,2946.96186165079
VUT,2018,2960.65376683153
VUT,2019,2986.2036911437
VUT,2020,2771.87098808052
VUT,2021,2666.30269843855
VUT,2022,2740.27545530661
VUT,2023,2651.47349372082
VUT,2024,2694.69807356803
WSM,2000,3041.41810844505
WSM,2001,3214.40324269246
WSM,2002,3368.1705125798453
WSM,2003,3490.368357841015
WSM,2004,3645.760283236905
WSM,2005,3788.3524113780304
WSM,2006,3819.588716287355
WSM,2007,3872.06468551846
WSM,2008,3900.9086249276297
WSM,2009,3978.5491383208446
WSM,2010,4141.305998584555
WSM,2011,4104.6837829286105
WSM,2012,3992.15191057473
WSM,2013,3971.815098694055
WSM,2014,4025.79907145306
WSM,2015,4228.79938130162
WSM,2016,4383.30554348178
WSM,2017,4357.189173004635
WSM,2018,4393.5429691349855
WSM,2019,4374.576779100065
WSM,2020,4114.396146063666
WSM,2021,3828.17205794762
WSM,2022,3868.362784925775
WSM,2023,4202.077439743245
WSM,2024,4553.10110583457
